,International students by country of citizenship and sub-sector 2013-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country of citizenship ,Universities,,,,,,,,,,Te P?kenga,,,,,,,,,,W?nanga,,,,,,,,,,Public providers,,,,,,,,,,Private training establishments,,,,,,,,,,Total,,,,,,,,,,,
,Denmark,125,130,125,145,120,135,125,50,10,15,10,10,10,5,10,10,5,5,5,0,0,0,0,0,0,0,0,0,5,0,135,135,135,155,130,145,125,55,20,15,10,15,10,10,5,5,5,0,0,0,145,150,145,165,130,150,130,55,20,15,,
,Israel,5,10,10,15,20,20,15,15,10,10,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,5,0,10,15,15,20,25,25,20,20,15,15,5,5,5,5,5,5,5,5,5,0,15,20,15,20,30,25,25,25,15,15,,
,Ecuador,5,5,5,5,15,15,15,15,10,10,0,5,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,15,15,20,20,15,10,5,5,5,5,5,10,5,5,5,0,10,10,10,10,15,20,20,20,15,10,,
,Poland,20,20,20,25,30,30,25,15,15,10,5,5,5,5,5,5,0,5,5,5,0,0,0,0,0,0,0,0,5,0,25,20,25,25,35,35,25,20,20,10,0,5,5,5,5,5,5,5,5,5,25,25,30,25,35,40,25,20,20,10,,
,Portugal,20,20,20,20,15,15,15,10,10,10,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,25,25,20,25,20,20,20,10,10,10,0,5,5,5,5,5,5,10,0,0,25,30,25,25,20,25,25,20,10,10,,
,Tanzania,25,25,25,25,20,15,10,10,10,10,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,20,20,15,15,10,10,5,5,5,5,0,5,0,0,5,5,35,30,30,30,20,20,15,15,10,10,,
,Austria,40,35,40,45,45,40,35,20,10,5,20,20,15,10,10,10,5,10,5,5,0,0,0,0,0,0,0,0,0,0,60,55,55,55,55,50,40,30,15,10,5,5,5,5,5,0,5,5,5,5,60,60,60,60,55,50,45,30,15,10,,
,Finland,30,30,25,25,25,25,35,15,5,5,5,5,5,10,10,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,30,30,30,35,35,30,40,20,5,10,0,5,5,0,5,5,5,5,5,5,30,30,30,35,35,35,45,20,5,10,,
,Mongolia,20,10,15,10,10,10,10,10,10,5,5,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,25,10,15,10,10,10,10,15,10,10,0,5,0,0,5,5,10,5,5,5,25,10,15,10,10,15,20,15,10,10,,
,Ukraine,15,15,15,15,10,15,15,15,10,10,5,10,15,10,15,15,10,10,5,0,0,0,0,0,0,0,0,0,0,0,25,25,30,25,25,30,25,30,15,10,10,25,30,10,10,15,10,5,5,5,35,50,60,35,35,45,35,30,20,10,,
,Uruguay,5,5,5,5,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,10,10,10,15,10,10,10,15,20,15,5,5,5,5,5,5,5,20,25,20,10,10,15,15,15,10,10,,
,Cameroon,5,5,5,5,5,5,10,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,10,5,5,10,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,10,5,5,10,,
,Ethiopia,10,10,15,20,15,10,10,10,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,15,20,15,10,10,10,10,10,0,5,0,5,5,0,0,5,5,0,10,10,15,20,20,10,10,10,10,10,,
,Lebanon,10,5,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,5,10,5,5,5,5,5,5,5,5,5,0,0,5,15,10,10,10,15,10,10,10,5,10,,
,United Arab Emirates,25,20,15,15,15,15,10,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,15,15,15,15,15,5,5,5,5,5,5,5,5,5,5,5,5,5,30,20,15,15,20,15,15,10,5,5,,
,Namibia,5,5,5,5,5,5,5,5,5,5,10,5,5,5,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,10,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,5,5,5,10,5,5,5,5,5,5,5,5,5,,
,Uganda,5,5,5,5,5,5,10,10,10,5,0,0,5,5,5,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10,10,10,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10,10,10,5,,
,Jamaica,10,10,10,10,10,10,10,10,10,5,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,5,5,5,0,0,0,0,0,0,0,0,15,15,10,10,10,10,10,10,10,5,,
,North Macedonia,5,0,5,5,5,5,5,5,5,5,0,0,5,0,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,5,5,,
,Yemen,5,5,5,5,5,5,5,10,10,5,0,5,5,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,10,10,5,5,5,0,0,5,5,0,0,0,0,5,5,5,5,10,5,5,10,10,5,,
,Bhutan,5,5,5,10,10,15,10,10,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,10,15,15,15,5,5,5,5,10,10,5,5,5,10,0,5,10,10,15,20,10,15,15,20,5,5,,
,Gaza Strip/Palestine/West Bank,5,5,5,5,5,10,5,5,5,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,5,5,5,5,5,0,0,0,0,5,5,0,0,0,5,5,5,5,5,10,5,5,5,5,,
,Sudan,10,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,5,5,10,5,5,5,5,0,0,5,5,0,0,0,5,0,0,10,5,5,5,5,10,5,10,5,5,,
